Fecha,Casos confirmados acumulados,Casos recuperados acumulados,Casos activos confirmados,Casos fallecidos acumulados
2020-03-03,0.0,,,
2020-03-04,0.0,,,
2020-03-05,0.0,,,
2020-03-06,0.0,,,
2020-03-07,0.0,,,
2020-03-08,0.0,,,
2020-03-09,0.0,,,
2020-03-10,0.0,,,
2020-03-11,0.0,,,
2020-03-12,0.0,,,
2020-03-13,0.0,,,
2020-03-14,0.0,,,
2020-03-15,0.0,,,
2020-03-16,0.0,,,
2020-03-17,0.0,,,
2020-03-18,0.0,,,
2020-03-19,0.0,,,
2020-03-20,0.0,,,
2020-03-21,0.0,,,
2020-03-22,0.0,,,0.0
2020-03-23,1.0,,1.0,0.0
2020-03-24,4.0,,4.0,0.0
2020-03-25,4.0,,4.0,0.0
2020-03-26,5.0,,5.0,0.0
2020-03-27,5.0,,5.0,0.0
2020-03-28,5.0,,5.0,0.0
2020-03-29,6.0,,6.0,0.0
2020-03-30,8.0,,8.0,0.0
2020-03-31,10.0,,10.0,0.0
2020-04-01,10.0,,10.0,0.0
2020-04-02,12.0,,12.0,0.0
2020-04-03,13.0,,13.0,0.0
2020-04-04,17.0,,17.0,0.0
2020-04-05,20.0,,20.0,0.0
2020-04-06,21.0,,20.0,0.0
2020-04-07,23.0,1.0,19.0,0.0
2020-04-08,26.0,4.0,22.0,0.0
2020-04-09,29.0,4.0,24.0,0.0
2020-04-10,35.0,5.0,30.0,0.0
2020-04-11,38.0,5.0,33.0,0.0
2020-04-12,46.0,5.0,40.0,0.0
2020-04-13,52.0,6.0,44.0,0.0
2020-04-14,62.0,8.0,52.0,0.0
2020-04-15,62.0,10.0,52.0,0.0
2020-04-16,66.0,10.0,54.0,0.0
2020-04-17,73.0,12.0,60.0,0.0
2020-04-18,81.0,13.0,64.0,0.0
2020-04-19,90.0,17.0,70.0,0.0
2020-04-20,93.0,20.0,72.0,0.0
2020-04-21,104.0,21.0,81.0,0.0
2020-04-22,114.0,23.0,88.0,0.0
2020-04-23,128.0,26.0,99.0,0.0
2020-04-24,134.0,29.0,99.0,0.0
2020-04-25,143.0,35.0,104.0,1.0
2020-04-26,156.0,38.0,109.0,1.0
2020-04-27,164.0,46.0,111.0,1.0
2020-04-28,169.0,52.0,106.0,1.0
2020-04-29,183.0,62.0,120.0,1.0
2020-04-30,198.0,62.0,131.0,1.0
2020-05-01,200.0,66.0,126.0,1.0
2020-05-02,212.0,73.0,130.0,1.0
2020-05-03,272.0,81.0,181.0,1.0
2020-05-04,295.0,90.0,201.0,1.0
2020-05-05,322.0,93.0,217.0,1.0
2020-05-06,339.0,104.0,224.0,1.0
2020-05-07,417.0,114.0,288.0,1.0
2020-05-08,459.0,128.0,324.0,1.0
2020-05-09,485.0,134.0,342.0,1.0
2020-05-10,520.0,142.0,364.0,1.0
2020-05-11,547.0,155.0,383.0,1.0
2020-05-12,578.0,163.0,409.0,1.0
2020-05-13,615.0,168.0,432.0,1.0
2020-05-14,682.0,182.0,484.0,1.0
2020-05-15,779.0,197.0,578.0,2.0
2020-05-16,845.0,199.0,632.0,2.0
2020-05-17,975.0,211.0,700.0,4.0
2020-05-18,1056.0,271.0,758.0,4.0
2020-05-19,1109.0,294.0,784.0,4.0
2020-05-20,1139.0,321.0,797.0,4.0
2020-05-21,1246.0,338.0,826.0,4.0
2020-05-22,1393.0,416.0,930.0,5.0
2020-05-23,1471.0,458.0,982.0,5.0
2020-05-24,1564.0,484.0,1038.0,7.0
2020-05-25,1630.0,519.0,1077.0,7.0
2020-05-26,1737.0,546.0,1152.0,8.0
2020-05-27,1811.0,577.0,1186.0,11.0
2020-05-28,1957.0,614.0,1264.0,12.0
2020-05-29,2093.0,681.0,1302.0,14.0
2020-05-30,2250.0,777.0,1389.0,18.0
2020-05-31,2361.0,843.0,1369.0,21.0
2020-06-01,2526.0,971.0,1452.0,22.0
2020-06-02,2594.0,1052.0,1466.0,23.0
2020-06-03,2682.0,1105.0,1519.0,28.0
2020-06-04,2810.0,1135.0,1540.0,28.0
2020-06-05,2965.0,1242.0,1549.0,28.0
2020-06-06,3094.0,1388.0,1598.0,30.0
2020-06-07,3250.0,1466.0,1658.0,35.0
2020-06-08,3392.0,1557.0,1734.0,35.0
2020-06-09,3491.0,1623.0,1727.0,35.0
2020-06-10,3591.0,1729.0,1745.0,46.0
2020-06-11,3696.0,1800.0,1705.0,46.0
2020-06-12,3823.0,1945.0,1696.0,48.0
2020-06-13,4004.0,2079.0,1720.0,52.0
2020-06-14,4145.0,2232.0,1747.0,58.0
2020-06-15,4258.0,2340.0,1696.0,58.0
2020-06-16,4365.0,2504.0,1736.0,58.0
2020-06-17,4787.0,2571.0,2066.0,67.0
2020-06-18,4869.0,2654.0,2019.0,68.0
2020-06-19,4995.0,2782.0,1987.0,71.0
2020-06-20,5143.0,2937.0,2000.0,79.0
2020-06-21,5258.0,3064.0,982.0,80.0
2020-06-22,5355.0,3215.0,992.0,80.0
2020-06-23,5442.0,3357.0,927.0,80.0
2020-06-24,5504.0,3545.0,862.0,84.0
2020-06-25,5577.0,3650.0,822.0,85.0
2020-06-26,5712.0,3775.0,839.0,85.0
2020-06-27,5771.0,3952.0,793.0,88.0
2020-06-28,5893.0,4087.0,821.0,91.0
2020-06-29,5974.0,5068.0,819.0,91.0
2020-06-30,6049.0,5193.0,771.0,91.0
2020-07-01,6116.0,5285.0,746.0,91.0
2020-07-02,6215.0,5380.0,743.0,95.0
2020-07-03,6298.0,5479.0,731.0,96.0
2020-07-04,6372.0,5565.0,718.0,98.0
2020-07-05,6508.0,5657.0,769.0,102.0
2020-07-06,6632.0,5724.0,828.0,102.0
2020-07-07,6705.0,5835.0,792.0,102.0
2020-07-08,6789.0,5937.0,771.0,105.0
2020-07-09,6867.0,6026.0,773.0,107.0
2020-07-10,6961.0,6085.0,807.0,107.0
2020-07-11,7050.0,6157.0,812.0,108.0
2020-07-12,7147.0,6254.0,824.0,111.0
2020-07-13,7191.0,6325.0,797.0,111.0
2020-07-14,7217.0,6400.0,748.0,111.0
2020-07-15,7266.0,6500.0,693.0,115.0
2020-07-16,7353.0,6604.0,632.0,117.0
2020-07-17,7451.0,6660.0,658.0,139.0
2020-07-18,7557.0,6786.0,636.0,140.0
2020-07-19,7627.0,6867.0,624.0,141.0
2020-07-20,7761.0,6951.0,671.0,144.0
2020-07-21,7820.0,7026.0,655.0,144.0
2020-07-22,7869.0,7130.0,600.0,144.0
2020-07-23,7953.0,7204.0,604.0,150.0
2020-07-24,8079.0,7292.0,642.0,150.0
2020-07-25,8147.0,7357.0,642.0,153.0
2020-07-26,8188.0,7407.0,631.0,155.0
2020-07-27,8308.0,7450.0,705.0,159.0
2020-07-28,8585.0,7524.0,907.0,160.0
2020-07-29,8648.0,7598.0,896.0,160.0
2020-07-30,8764.0,7666.0,942.0,162.0
2020-07-31,8797.0,7730.0,907.0,166.0
2020-08-01,8863.0,7836.0,865.0,168.0
2020-08-02,8922.0,7926.0,832.0,170.0
2020-08-03,8985.0,7983.0,835.0,173.0
2020-08-04,9045.0,8084.0,794.0,173.0
2020-08-05,9128.0,8163.0,798.0,173.0
2020-08-06,9167.0,8257.0,738.0,177.0
2020-08-07,9252.0,8346.0,733.0,178.0
2020-08-08,9278.0,8414.0,689.0,180.0
2020-08-09,9367.0,8500.0,691.0,181.0
2020-08-10,9419.0,8624.0,618.0,182.0
2020-08-11,9543.0,8716.0,650.0,182.0
2020-08-12,9617.0,8789.0,651.0,182.0
2020-08-13,9702.0,8869.0,653.0,185.0
2020-08-14,9773.0,8955.0,638.0,185.0
2020-08-15,9825.0,9020.0,625.0,185.0
2020-08-16,9879.0,9089.0,609.0,186.0
2020-08-17,9971.0,9141.0,649.0,186.0
2020-08-18,10035.0,9204.0,650.0,186.0
2020-08-19,10085.0,9276.0,628.0,186.0
2020-08-20,10137.0,9344.0,607.0,191.0
2020-08-21,10213.0,9420.0,607.0,191.0
2020-08-22,10262.0,9484.0,590.0,193.0
2020-08-23,10331.0,9541.0,602.0,193.0
2020-08-24,10385.0,9601.0,593.0,196.0
2020-08-25,10428.0,9684.0,553.0,196.0
2020-08-26,10465.0,9738.0,536.0,196.0
2020-08-27,10504.0,9814.0,497.0,198.0
2020-08-28,10539.0,9880.0,465.0,199.0
2020-08-29,10603.0,9938.0,471.0,199.0
2020-08-30,10646.0,10006.0,443.0,203.0
2020-08-31,10685.0,10036.0,451.0,204.0
2020-09-01,10713.0,10085.0,430.0,204.0
2020-09-02,10760.0,10144.0,418.0,204.0
2020-09-03,10796.0,10193.0,404.0,206.0
2020-09-04,10832.0,10234.0,398.0,207.0
2020-09-05,10873.0,10280.0,393.0,207.0
2020-09-06,10913.0,10326.0,384.0,210.0
2020-09-07,10934.0,10365.0,365.0,211.0
2020-09-08,10973.0,10413.0,356.0,211.0
2020-09-09,11021.0,10441.0,376.0,211.0
2020-09-10,11051.0,10487.0,358.0,213.0
2020-09-11,11091.0,10520.0,365.0,213.0
2020-09-12,11132.0,10576.0,350.0,213.0
2020-09-13,11193.0,10603.0,383.0,214.0
2020-09-14,11234.0,10651.0,374.0,215.0
2020-09-15,11271.0,10699.0,363.0,215.0
2020-09-16,11293.0,10758.0,326.0,215.0
2020-09-17,11339.0,10801.0,326.0,218.0
2020-09-18,11381.0,10846.0,323.0,218.0
2020-09-19,11401.0,10898.0,291.0,218.0
2020-09-20,11435.0,10952.0,269.0,219.0
2020-09-21,11469.0,10989.0,266.0,219.0
2020-09-22,11497.0,11024.0,259.0,219.0
2020-09-23,11512.0,11046.0,252.0,219.0
2020-09-24,11531.0,11094.0,219.0,223.0
2020-09-25,11572.0,11128.0,224.0,225.0
2020-09-26,11616.0,11151.0,245.0,225.0
2020-09-27,11672.0,11189.0,262.0,226.0
2020-09-28,11707.0,11217.0,268.0,227.0
2020-09-29,11748.0,11245.0,281.0,227.0
2020-09-30,11792.0,11293.0,277.0,227.0
2020-10-01,11842.0,11332.0,288.0,227.0
2020-10-02,11878.0,11373.0,279.0,231.0
2020-10-03,11947.0,11394.0,327.0,231.0
2020-10-04,11976.0,11407.0,342.0,232.0
2020-10-05,12005.0,11418.0,359.0,233.0
2020-10-06,12036.0,11444.0,364.0,233.0
2020-10-07,12062.0,11479.0,355.0,233.0
2020-10-08,12092.0,11520.0,343.0,234.0
